"pop","fis","exp_het","obs_het"
"AA",0.0784250315523769,0.252033543196922,0.227118992654774
"AB",0.0732024762690879,0.253189880749574,0.230183577512777
"AC",0.0747632603406326,0.256349240855763,0.233199033816425
"AD",0.0315559849198869,0.240080034602076,0.230369411764706
"AO",0.063674780814853,0.220774738675958,0.204005052264808
"AP",0.123782997118156,0.245914422369389,0.208122847682119
"AQ",0.0609350166481687,0.215499226169539,0.198668835736898
"AR",0.0861532073595226,0.233084273890143,0.208446914973664
"AS",0.0734157968313141,0.23499628975265,0.215012438162544
"AT",0.0526867346938776,0.226755543633763,0.212098497854077
"AV",0.114558854440357,0.243971315372425,0.208948494453249
"AX",0.105721732745962,0.173201421282799,0.150537026239067
"AY",0.028721198388721,0.246183771070169,0.237282947863583
"AZ",0.0975957983193277,0.248921453168044,0.218193181818182
"BA",0.113679804878049,0.249267229848645,0.212921013727561
"BB",0.0377518756169793,0.239829782528566,0.228936380390711
"BC",0.0877857555341675,0.252123701175578,0.224414827455442
"BD",0.0513826898047722,0.254341531404375,0.237804904728299
"BE",0.0395551257253385,0.217143349536014,0.2060461776403
"BF",0.106775310100413,0.214829542695265,0.185681788749494
"BG",0.0591077760497667,0.193244077134986,0.178043112947658
"BH",0.0213386961722488,0.224281421198888,0.217589162366018
"BI",0.0727444628099174,0.242741903584672,0.220697610218377
"BK",0.0259742160278746,0.230017262638718,0.222345869297164
"BM",0.0284766833611575,0.255196740088106,0.24675986784141
"BN",0.0267739699466796,0.250699847560976,0.24328456554878
"BO",0.0258782799748901,0.238925174499767,0.231371800837599
"BR",0.0447009244992296,0.262697548605241,0.248669907016061
"CH",0.0679290721649485,0.234130557737628,0.215355773762765
"H2",-0.0253145367412141,0.194376308784383,0.19996628216504
"LG",0.0131497507477567,0.186679302832244,0.184096568627451
"MC",0.0722769537480064,0.196413698630137,0.180229650905877
